lemma,clue,source
froid,Glacial,bliss-authored
néon,Gaz des tubes lumineux,bliss-authored
néon,Enseigne éclairée,bliss-authored
but,Point marqué au foot,bliss-authored
but,Objectif à atteindre,bliss-authored
saint,Personnage canonisé,bliss-authored
saint,Homme d'une grande vertu,bliss-authored
gîte,Abri du lièvre,bliss-authored
gîte,Location de vacances,bliss-authored
race,Variété d'une espèce,bliss-authored
race,Groupe ethnique,bliss-authored
régner,Exercer le pouvoir,bliss-authored
régner,Gouverner en roi,bliss-authored
avaler,Ingurgiter,bliss-authored
avaler,Faire descendre dans la gorge,bliss-authored
rame,Aviron de barque,bliss-authored
rame,Convoi de métro,bliss-authored
hésiter,Ne pas se décider,bliss-authored
hésiter,Balancer entre deux choix,bliss-authored
armée,Force militaire,bliss-authored
armée,Grande multitude,bliss-authored
gare,Halte des trains,bliss-authored
gare,Station ferroviaire,bliss-authored
isolé,À l'écart,bliss-authored
isolé,"Seul, sans contact",bliss-authored
écraser,Aplatir avec force,bliss-authored
écraser,Réduire en purée,bliss-authored
oint,Consacré par l'onction,bliss-authored
oint,Frotté d'huile sainte,bliss-authored
édit,Décret royal,bliss-authored
édit,Loi de l'Ancien Régime,bliss-authored
coït,Union charnelle,bliss-authored
coït,Accouplement,bliss-authored
dorer,Couvrir d'or,bliss-authored
dorer,Faire brunir au four,bliss-authored
DV,Cinq cent cinq romain,bliss-authored
DV,505 chez les Latins,bliss-authored
nette,Claire et précise,bliss-authored
nette,"Propre, sans tache",bliss-authored
go,Jeu de pions asiatique,bliss-authored
go,Unité de stockage informatique,bliss-authored
IX,Neuf en chiffres romains,bliss-authored
IX,Nombre à la romaine,bliss-authored
lait,Boisson de la vache,bliss-authored
lait,Liquide blanc nourricier,bliss-authored
ka,Double spirituel du pharaon,bliss-authored
ka,"Âme, chez les Égyptiens",bliss-authored
tarder,Se faire attendre,bliss-authored
tarder,Mettre du temps,bliss-authored
LV,Cinquante-cinq romain,bliss-authored
LV,55 chez les Anciens,bliss-authored
arme,Instrument de combat,bliss-authored
arme,Fusil ou épée,bliss-authored
agiter,Secouer,bliss-authored
agiter,Remuer vivement,bliss-authored
tact,Délicatesse,bliss-authored
tact,Sens du toucher,bliss-authored
trio,Groupe de trois,bliss-authored
trio,Ensemble musical à trois,bliss-authored
carie,Trou dans une dent,bliss-authored
carie,Mal soigné par le dentiste,bliss-authored
iris,Fleur bleue des jardins,bliss-authored
iris,Membrane colorée de l'œil,bliss-authored
aber,Estuaire breton,bliss-authored
aber,Ria de Bretagne,bliss-authored
polir,Rendre lisse,bliss-authored
polir,Lustrer une surface,bliss-authored
soir,Fin de journée,bliss-authored
soir,Moment du crépuscule,bliss-authored
sécher,Rendre sec,bliss-authored
sécher,Manquer un cours,bliss-authored
sole,Poisson plat,bliss-authored
sole,Dessous du sabot,bliss-authored
recto,Endroit d'une feuille,bliss-authored
recto,Première face d'une page,bliss-authored
fil,Brin à coudre,bliss-authored
fil,Conducteur électrique,bliss-authored
cité,Ensemble de logements,bliss-authored
cité,Grande ville,bliss-authored
reçu,Justificatif de paiement,bliss-authored
reçu,Admis à un examen,bliss-authored
ours,Plantigrade des forêts,bliss-authored
ours,Grand animal du zoo,bliss-authored
vouer,Consacrer,bliss-authored
vouer,Promettre solennellement,bliss-authored
carte,Plan géographique,bliss-authored
carte,Menu du restaurant,bliss-authored
vitae,"Curriculum ___, le CV",bliss-authored
vitae,"De la vie, en latin",bliss-authored
sirène,Femme-poisson des légendes,bliss-authored
sirène,Signal d'alarme sonore,bliss-authored
auge,Mangeoire du cochon,bliss-authored
auge,Récipient du maçon,bliss-authored
alun,Sel qui arrête le sang,bliss-authored
alun,Astringent après rasage,bliss-authored
urine,Liquide des reins,bliss-authored
urine,Produit filtré par la vessie,bliss-authored
aune,Ancienne mesure de longueur,bliss-authored
aune,Arbre des lieux humides,bliss-authored
envie,Désir pressant,bliss-authored
envie,Jalousie,bliss-authored
auto,Véhicule à quatre roues,bliss-authored
auto,Voiture,bliss-authored
center,"Centre, en anglais",bliss-authored
center,"Milieu, mot anglais",bliss-authored
sauce,Accompagnement liquide,bliss-authored
sauce,Elle nappe le rôti,bliss-authored
situer,Placer dans l'espace,bliss-authored
situer,Localiser,bliss-authored
ranimer,Redonner vie,bliss-authored
ranimer,Réveiller le feu,bliss-authored
lent,Peu rapide,bliss-authored
lent,Qui traîne,bliss-authored
sape,"Vêtement, en argot",bliss-authored
sape,Travail de sabotage souterrain,bliss-authored
diète,Régime du malade,bliss-authored
diète,Ancienne assemblée germanique,bliss-authored
parler,S'exprimer par la voix,bliss-authored
parler,Prononcer des mots,bliss-authored
fuir,Prendre la poudre d'escampette,bliss-authored
fuir,Laisser échapper l'eau,bliss-authored
pisé,Terre argileuse à bâtir,bliss-authored
pisé,Mur de terre battue,bliss-authored
défier,Provoquer,bliss-authored
défier,Lancer un challenge,bliss-authored
copier,Reproduire à l'identique,bliss-authored
copier,Imiter,bliss-authored
aorte,Grosse artère du cœur,bliss-authored
aorte,Vaisseau majeur du sang,bliss-authored
maie,Coffre à pétrir le pain,bliss-authored
maie,Pétrin de boulanger,bliss-authored
main,Extrémité du bras,bliss-authored
main,Elle a cinq doigts,bliss-authored
élite,Le dessus du panier,bliss-authored
élite,Groupe des meilleurs,bliss-authored
maïs,Céréale à épis jaunes,bliss-authored
maïs,Grain à pop-corn,bliss-authored
exister,"Être, vivre",bliss-authored
exister,Avoir une réalité,bliss-authored
mari,Époux,bliss-authored
mari,Conjoint d'une femme,bliss-authored
résider,Habiter quelque part,bliss-authored
résider,Demeurer en un lieu,bliss-authored
pétrir,Malaxer la pâte,bliss-authored
pétrir,Travailler avec les mains,bliss-authored
ban,Roulement d'applaudissements,bliss-authored
ban,Publication de mariage,bliss-authored
stop,Arrêt obligatoire au carrefour,bliss-authored
stop,Ordre de s'arrêter,bliss-authored
toit,Couverture d'une maison,bliss-authored
toit,Il protège de la pluie,bliss-authored
étrier,Support du pied du cavalier,bliss-authored
étrier,Osselet de l'oreille,bliss-authored
bol,Récipient du petit-déjeuner,bliss-authored
bol,"Chance, en argot",bliss-authored
bon,De bonne qualité,bliss-authored
bon,Coupon d'achat,bliss-authored
abuser,Aller trop loin,bliss-authored
abuser,Tromper quelqu'un,bliss-authored
iota,Lettre grecque,bliss-authored
iota,Toute petite quantité,bliss-authored
resto,Lieu où l'on dîne,bliss-authored
resto,Cantine familière,bliss-authored
rapt,Enlèvement,bliss-authored
rapt,Kidnapping,bliss-authored
col,Passage de montagne,bliss-authored
col,Partie du vêtement au cou,bliss-authored
gaze,Tissu léger de pansement,bliss-authored
gaze,Étoffe transparente,bliss-authored
tuf,Roche volcanique poreuse,bliss-authored
tuf,Pierre tendre,bliss-authored
résumer,Dire en bref,bliss-authored
résumer,Condenser un texte,bliss-authored
tva,Taxe sur les achats,bliss-authored
tva,Impôt indirect,bliss-authored
paroi,"Mur, cloison",bliss-authored
paroi,Face abrupte de montagne,bliss-authored
munir,"Équiper, pourvoir",bliss-authored
munir,Doter d'un objet,bliss-authored
hère,Pauvre malheureux,bliss-authored
hère,Jeune cerf,bliss-authored
avilir,"Rabaisser, déprécier",bliss-authored
avilir,Rendre méprisable,bliss-authored
sexe,Mâle ou femelle,bliss-authored
sexe,Organe de reproduction,bliss-authored
sève,Liquide nourricier des plantes,bliss-authored
sève,"Vigueur, énergie",bliss-authored
revêtir,"Habiller, couvrir",bliss-authored
revêtir,Endosser un habit,bliss-authored
laïc,Non religieux,bliss-authored
laïc,Qui n'est pas clerc,bliss-authored
om,Club de foot marseillais,bliss-authored
om,Mantra hindou,bliss-authored
pv,Amende de stationnement,bliss-authored
pv,Procès-verbal en bref,bliss-authored
aspirer,"Inhaler, humer",bliss-authored
aspirer,Désirer ardemment,bliss-authored
vo,Film non doublé,bliss-authored
vo,"Au cinéma, sous-titré",bliss-authored
XC,Quatre-vingt-dix romain,bliss-authored
XC,90 chez les Latins,bliss-authored
sauter,Bondir,bliss-authored
sauter,Faire exploser,bliss-authored
atterrir,Se poser au sol,bliss-authored
atterrir,"Toucher terre, pour l'avion",bliss-authored
vol,Larcin,bliss-authored
vol,Déplacement dans les airs,bliss-authored
aliéner,Céder un bien,bliss-authored
aliéner,Rendre fou,bliss-authored
rhume,Refroidissement,bliss-authored
rhume,Affection des voies nasales,bliss-authored
relai,"Étape, relève",bliss-authored
relai,"Course d'équipe, en athlétisme",bliss-authored
rétro,Ancien style,bliss-authored
rétro,"Démodé, d'autrefois",bliss-authored
fbi,Police fédérale américaine,bliss-authored
fbi,Agence de Washington,bliss-authored
islam,Religion de Mahomet,bliss-authored
islam,Religion du Coran,bliss-authored
placer,"Poser, mettre",bliss-authored
placer,Investir de l'argent,bliss-authored
italien,Habitant de Rome,bliss-authored
italien,Langue de Dante,bliss-authored
vexer,"Froisser, blesser",bliss-authored
vexer,Offenser,bliss-authored
univ,"Faculté, en bref",bliss-authored
univ,Établissement d'études supérieures,bliss-authored
ouïe,Sens de l'audition,bliss-authored
ouïe,Organe respiratoire du poisson,bliss-authored
après,"Ensuite, plus tard",bliss-authored
après,À la suite de,bliss-authored
sudest,Point cardinal intermédiaire,bliss-authored
sudest,Direction de la rose des vents,bliss-authored
nana,"Fille, en familier",bliss-authored
nana,"Copine, en argot",bliss-authored
générer,"Produire, engendrer",bliss-authored
générer,"Provoquer, causer",bliss-authored
revivre,Renaître,bliss-authored
revivre,Retrouver ses forces,bliss-authored
retirer,"Enlever, ôter",bliss-authored
retirer,Extraire,bliss-authored
essai,Tentative,bliss-authored
essai,Marque au rugby,bliss-authored
vrai,"Exact, authentique",bliss-authored
vrai,Conforme à la réalité,bliss-authored
vire,Petite terrasse rocheuse,bliss-authored
vire,Ville du Calvados,bliss-authored
baiser,Embrasser,bliss-authored
baiser,Donner un bécot,bliss-authored
visa,Autorisation d'entrée,bliss-authored
visa,Cachet sur un passeport,bliss-authored
oisif,"Inactif, désœuvré",bliss-authored
oisif,Qui ne travaille pas,bliss-authored
vain,"Inutile, stérile",bliss-authored
vain,Sans effet,bliss-authored
usure,Détérioration par le temps,bliss-authored
usure,Intérêt excessif d'un prêt,bliss-authored
rénal,Relatif au rein,bliss-authored
rénal,Des reins,bliss-authored
ovin,Relatif au mouton,bliss-authored
ovin,Bête à laine,bliss-authored
pou,Parasite du cuir chevelu,bliss-authored
pou,Insecte de la tête,bliss-authored
street,"Rue, en anglais",bliss-authored
street,"Voie urbaine, mot anglais",bliss-authored
stress,Tension nerveuse,bliss-authored
stress,"Pression, angoisse",bliss-authored
suivre,Aller derrière,bliss-authored
suivre,Accompagner,bliss-authored
adieu,Salut de départ,bliss-authored
adieu,Formule de séparation,bliss-authored
répartir,"Distribuer, partager",bliss-authored
répartir,Ventiler,bliss-authored
agité,"Nerveux, troublé",bliss-authored
agité,"Houleux, pour la mer",bliss-authored
rentrer,Revenir chez soi,bliss-authored
rentrer,Pénétrer à nouveau,bliss-authored
pine,"Membre viril, vulgaire",bliss-authored
pine,"Sexe masculin, en argot",bliss-authored
sceau,Cachet officiel,bliss-authored
sceau,Marque d'authenticité,bliss-authored
midi,Milieu du jour,bliss-authored
midi,Sud de la France,bliss-authored
astre,Corps céleste,bliss-authored
astre,Étoile ou planète,bliss-authored
zoo,Parc animalier,bliss-authored
zoo,Jardin des bêtes,bliss-authored
raz,Courant marin violent,bliss-authored
raz,Passage étroit entre écueils,bliss-authored
repérer,"Localiser, situer",bliss-authored
repérer,"Remarquer, déceler",bliss-authored
inde,Pays de Gandhi,bliss-authored
inde,Nation du Gange,bliss-authored
verdir,Devenir vert,bliss-authored
verdir,Pâlir de peur,bliss-authored
mise,"Enjeu, au poker",bliss-authored
mise,Tenue vestimentaire,bliss-authored
garnir,"Équiper, remplir",bliss-authored
garnir,Décorer un plat,bliss-authored
capter,Recevoir un signal,bliss-authored
capter,"Comprendre, en familier",bliss-authored
rob,Sirop de fruits concentré,bliss-authored
rob,Diminutif anglais de Robert,bliss-authored
luire,"Briller, scintiller",bliss-authored
luire,Émettre une lueur,bliss-authored
santé,Bien-être physique,bliss-authored
santé,État de l'organisme,bliss-authored
marin,Homme de mer,bliss-authored
marin,Relatif à la mer,bliss-authored
désir,"Envie, souhait",bliss-authored
désir,Convoitise,bliss-authored
arroser,Mouiller de liquide,bliss-authored
arroser,Fêter en buvant,bliss-authored
admettre,"Accepter, reconnaître",bliss-authored
admettre,Laisser entrer,bliss-authored
étape,"Halte, escale",bliss-authored
étape,Phase d'un parcours,bliss-authored
essayer,Tenter,bliss-authored
essayer,Enfiler pour voir,bliss-authored
tort,"Faute, erreur",bliss-authored
tort,Préjudice causé,bliss-authored
étain,Métal gris,bliss-authored
étain,Métal des couverts anciens,bliss-authored
écho,Répétition d'un son,bliss-authored
écho,Réverbération sonore,bliss-authored
rime,Consonance en poésie,bliss-authored
rime,Retour de sons en fin de vers,bliss-authored
harpe,Instrument à cordes pincées,bliss-authored
harpe,Grand instrument d'orchestre,bliss-authored
neuf,Chiffre après huit,bliss-authored
neuf,"Récent, jamais servi",bliss-authored
kit,Ensemble à monter soi-même,bliss-authored
kit,Prêt-à-monter,bliss-authored
sorte,"Espèce, genre",bliss-authored
sorte,Catégorie,bliss-authored
plat,Préparation culinaire,bliss-authored
plat,"Sans relief, uni",bliss-authored
attirer,"Séduire, appâter",bliss-authored
attirer,Faire venir à soi,bliss-authored
gant,Protection pour la main,bliss-authored
gant,Accessoire de boxe,bliss-authored
écrit,"Texte, document",bliss-authored
écrit,Épreuve d'examen,bliss-authored
vert,Couleur de l'herbe,bliss-authored
vert,Pas encore mûr,bliss-authored
tiret,Petit trait horizontal,bliss-authored
tiret,Signe de ponctuation,bliss-authored
orbe,"Globe, sphère",bliss-authored
orbe,Cercle décrit par un astre,bliss-authored
vertu,Qualité morale,bliss-authored
vertu,Chasteté,bliss-authored
paria,"Exclu, rejeté",bliss-authored
paria,"Intouchable, en Inde",bliss-authored
tertre,Petite butte,bliss-authored
tertre,Monticule de terre,bliss-authored
none,Heure liturgique de l'après-midi,bliss-authored
none,Office du milieu d'après-midi,bliss-authored
lou,Rugby lyonnais,bliss-authored
lou,Diminutif de Louise,bliss-authored
mlle,"Titre d'une jeune femme, en bref",bliss-authored
mlle,Abréviation de mademoiselle,bliss-authored
subir,"Endurer, supporter",bliss-authored
subir,Éprouver malgré soi,bliss-authored
serf,Paysan du Moyen Âge,bliss-authored
serf,Homme attaché à la terre,bliss-authored
manier,"Manipuler, utiliser",bliss-authored
manier,Se servir d'un outil,bliss-authored
étudier,"Apprendre, potasser",bliss-authored
étudier,Examiner attentivement,bliss-authored
cf,Renvoi dans un texte,bliss-authored
cf,"Confer, en abrégé",bliss-authored
muet,"Silencieux, sans voix",bliss-authored
muet,Qui ne parle pas,bliss-authored
hâter,Accélérer,bliss-authored
hâter,Faire aller plus vite,bliss-authored
db,Unité de niveau sonore,bliss-authored
db,Symbole du décibel,bliss-authored
dm,Symbole du décimètre,bliss-authored
dm,Dixième de mètre,bliss-authored
labo,Lieu d'expériences,bliss-authored
labo,"Salle de recherche, en bref",bliss-authored
iléon,Partie de l'intestin grêle,bliss-authored
iléon,Segment intestinal,bliss-authored
gh,Domaine internet du Ghana,bliss-authored
gh,Indicatif web d'un pays africain,bliss-authored
otite,Inflammation de l'oreille,bliss-authored
otite,Mal d'oreille,bliss-authored
jo,Sigle des Jeux olympiques,bliss-authored
jo,"Grand rendez-vous sportif, en bref",bliss-authored
jp,Domaine internet du Japon,bliss-authored
jp,"Le Japon, sur le web",bliss-authored
percevoir,Saisir par les sens,bliss-authored
percevoir,Encaisser un impôt,bliss-authored
kr,Domaine internet de la Corée,bliss-authored
kr,Symbole de la couronne scandinave,bliss-authored
musc,Parfum animal,bliss-authored
musc,Substance très odorante,bliss-authored
allié,Partenaire de guerre,bliss-authored
allié,Uni par un pacte,bliss-authored
oslo,Capitale norvégienne,bliss-authored
oslo,Ville de Norvège,bliss-authored
varia,Recueil de textes divers,bliss-authored
varia,"Changea, autrefois",bliss-authored
carène,Coque d'un navire,bliss-authored
carène,Partie immergée d'un bateau,bliss-authored
wc,Petit coin,bliss-authored
wc,Lieux d'aisances,bliss-authored
révéler,Faire connaître,bliss-authored
révéler,Dévoiler un secret,bliss-authored
edf,Fournisseur d'électricité français,bliss-authored
edf,Compagnie d'énergie hexagonale,bliss-authored
cher,Qui coûte beaucoup,bliss-authored
cher,Tendrement aimé,bliss-authored
soda,Boisson gazeuse,bliss-authored
soda,Limonade sucrée,bliss-authored
éclater,Exploser,bliss-authored
éclater,Se briser bruyamment,bliss-authored
geler,Transformer en glace,bliss-authored
geler,Figer par le froid,bliss-authored
menacer,Intimider,bliss-authored
menacer,Faire peur à,bliss-authored
repentir,Regret d'une faute,bliss-authored
repentir,Éprouver du remords,bliss-authored
ébahir,Stupéfier,bliss-authored
ébahir,Frapper d'étonnement,bliss-authored
trahir,Livrer à l'ennemi,bliss-authored
trahir,Manquer à sa parole,bliss-authored
récif,Écueil marin,bliss-authored
récif,Barrière de corail,bliss-authored
vtt,"Vélo tout-terrain, en sigle",bliss-authored
vtt,Bicyclette des chemins,bliss-authored
mess,Cantine militaire,bliss-authored
mess,Salle de repas des officiers,bliss-authored
entrée,Plat qui ouvre le repas,bliss-authored
entrée,Porte d'accès,bliss-authored
abri,Refuge,bliss-authored
abri,Lieu protégé,bliss-authored
œdème,Enflure,bliss-authored
œdème,Gonflement des tissus,bliss-authored
référer,En appeler à,bliss-authored
référer,Rapporter à une autorité,bliss-authored
trêve,Arrêt des combats,bliss-authored
trêve,Pause dans un conflit,bliss-authored
jurer,Affirmer sous serment,bliss-authored
jurer,Lâcher des jurons,bliss-authored
freiner,Ralentir,bliss-authored
freiner,Modérer l'élan,bliss-authored
voler,Se déplacer dans les airs,bliss-authored
voler,Dérober,bliss-authored
pore,Trou de la peau,bliss-authored
pore,Orifice minuscule,bliss-authored
foi,Croyance religieuse,bliss-authored
foi,Confiance absolue,bliss-authored
écume,Mousse des vagues,bliss-authored
écume,Bave blanchâtre,bliss-authored
perte,Ce qui est perdu,bliss-authored
perte,"Défaite, dommage",bliss-authored
saute,Brusque variation du vent,bliss-authored
saute,Change de place d'un bond,bliss-authored
choir,Tomber,bliss-authored
choir,Se laisser aller à terre,bliss-authored
mêlée,Phase du rugby,bliss-authored
mêlée,Combat confus,bliss-authored
café,Boisson noire matinale,bliss-authored
café,Bistrot de quartier,bliss-authored
môle,Jetée de pierre,bliss-authored
môle,Ouvrage protégeant un port,bliss-authored
arôme,Odeur agréable,bliss-authored
arôme,Parfum d'un plat,bliss-authored
tiède,Ni chaud ni froid,bliss-authored
tiède,Légèrement réchauffé,bliss-authored
traiter,Soigner un malade,bliss-authored
traiter,Négocier un accord,bliss-authored
émaner,Se dégager de,bliss-authored
émaner,Provenir de,bliss-authored
rosée,Humidité du matin,bliss-authored
rosée,Gouttes sur l'herbe,bliss-authored
pib,"Produit intérieur brut, en sigle",bliss-authored
pib,Mesure de la richesse d'un pays,bliss-authored
viril,Propre à l'homme,bliss-authored
viril,Plein de vigueur masculine,bliss-authored
zèle,Ardeur au travail,bliss-authored
zèle,Empressement excessif,bliss-authored
neveu,Fils du frère,bliss-authored
neveu,Enfant de la sœur,bliss-authored
recevoir,Obtenir,bliss-authored
recevoir,Accueillir chez soi,bliss-authored
panse,Gros ventre rebondi,bliss-authored
panse,Bedaine,bliss-authored
aval,Vers l'embouchure,bliss-authored
aval,"Garantie, caution",bliss-authored
plaire,Être agréable,bliss-authored
plaire,Séduire,bliss-authored
menée,Manœuvre secrète,bliss-authored
menée,Intrigue sourde,bliss-authored
roof,Superstructure d'un bateau,bliss-authored
roof,"Toit, mot anglais",bliss-authored
hase,Femelle du lièvre,bliss-authored
hase,Mère du levraut,bliss-authored
sauf,Excepté,bliss-authored
sauf,Hors de danger,bliss-authored
année,Douze mois,bliss-authored
année,Période de 365 jours,bliss-authored
atone,Sans accent tonique,bliss-authored
atone,"Sans énergie, morne",bliss-authored
anna,Prénom féminin palindrome,bliss-authored
anna,Ancienne monnaie indienne,bliss-authored
hennir,"Crier, en parlant du cheval",bliss-authored
hennir,Lancer son cri équin,bliss-authored
raton,Petit rat,bliss-authored
raton,"... laveur, mammifère masqué",bliss-authored
couper,Trancher,bliss-authored
couper,Sectionner,bliss-authored
acote,Appuie contre un support,bliss-authored
acote,"Cale, soutient",bliss-authored
rôder,Errer avec de mauvaises intentions,bliss-authored
rôder,Traîner alentour,bliss-authored
mire,Point visé,bliss-authored
mire,Image de réglage télé,bliss-authored
siège,Meuble pour s'asseoir,bliss-authored
siège,Blocus d'une ville,bliss-authored
mali,Pays du Sahel,bliss-authored
mali,État d'Afrique,bliss-authored
adage,Maxime populaire,bliss-authored
adage,"Dicton, sentence",bliss-authored
route,Voie de circulation,bliss-authored
route,Chemin carrossable,bliss-authored
stèle,Pierre commémorative,bliss-authored
stèle,Monument funéraire dressé,bliss-authored
marc,Dépôt au fond du café,bliss-authored
marc,Eau-de-vie de raisin,bliss-authored
triste,Morose,bliss-authored
triste,Plein de chagrin,bliss-authored
désert,Étendue de sable,bliss-authored
désert,Région aride,bliss-authored
truie,Femelle du porc,bliss-authored
truie,Mère des porcelets,bliss-authored
égaler,Être aussi fort que,bliss-authored
égaler,Atteindre le même niveau,bliss-authored
urss,"Ex-empire soviétique, en sigle",bliss-authored
urss,Ancienne union communiste,bliss-authored
piano,Instrument à touches,bliss-authored
piano,"Doucement, en musique",bliss-authored
pente,Inclinaison d'un terrain,bliss-authored
pente,Déclivité,bliss-authored
grief,Reproche,bliss-authored
grief,Motif de plainte,bliss-authored
suv,Véhicule surélevé de loisir,bliss-authored
suv,"Tout-terrain de ville, en sigle",bliss-authored
tsetse,Mouche africaine,bliss-authored
tsetse,Insecte de la maladie du sommeil,bliss-authored
reste,Ce qui demeure,bliss-authored
reste,Différence d'une soustraction,bliss-authored
bus,Transport en commun urbain,bliss-authored
bus,Grand véhicule à arrêts,bliss-authored
élaborer,Concevoir avec soin,bliss-authored
élaborer,Mettre au point,bliss-authored
tour,Édifice élevé,bliss-authored
tour,Mouvement circulaire,bliss-authored
initié,Introduit dans un savoir secret,bliss-authored
initié,Mis au courant des mystères,bliss-authored
laser,Faisceau lumineux concentré,bliss-authored
laser,Rayon amplifié,bliss-authored
rage,Maladie du chien mordant,bliss-authored
rage,Fureur violente,bliss-authored
clerc,Employé de notaire,bliss-authored
clerc,Homme d'Église,bliss-authored
rand,Monnaie sud-africaine,bliss-authored
rand,Devise de Pretoria,bliss-authored
renard,Rusé mammifère roux,bliss-authored
renard,Goupil des fables,bliss-authored
cdi,Contrat de travail stable,bliss-authored
cdi,Emploi sans terme fixe,bliss-authored
décroître,Diminuer peu à peu,bliss-authored
décroître,Aller en baissant,bliss-authored
écran,Surface d'affichage,bliss-authored
écran,Toile de cinéma,bliss-authored
coq,Mâle de la poule,bliss-authored
coq,Emblème de la France,bliss-authored
ordo,Calendrier liturgique,bliss-authored
ordo,"Prescription, familièrement",bliss-authored
orge,Céréale à bière,bliss-authored
orge,Grain pour la brasserie,bliss-authored
éterniser,Faire durer trop longtemps,bliss-authored
éterniser,Prolonger sans fin,bliss-authored
tenon,Partie mâle d'un assemblage,bliss-authored
tenon,S'emboîte dans la mortaise,bliss-authored
amuser,Divertir,bliss-authored
amuser,Faire passer le temps agréablement,bliss-authored
dame,Femme respectable,bliss-authored
dame,Reine aux échecs,bliss-authored
garder,Surveiller,bliss-authored
garder,Conserver,bliss-authored
lever,Ôter du lit,bliss-authored
lever,Dresser vers le haut,bliss-authored
ukase,Décret du tsar,bliss-authored
ukase,Ordre impératif,bliss-authored
larme,Goutte de chagrin,bliss-authored
larme,Toute petite quantité,bliss-authored
ensevelir,Mettre en terre,bliss-authored
ensevelir,Recouvrir entièrement,bliss-authored
mérite,Valeur d'une personne,bliss-authored
mérite,Ce qui rend digne d'estime,bliss-authored
dey,Ancien gouverneur d'Alger,bliss-authored
dey,Chef de la régence d'Alger,bliss-authored
bo,"Musique de film, en sigle",bliss-authored
bo,Bande son d'un long-métrage,bliss-authored
ch,"Cheval-vapeur, en abrégé",bliss-authored
ch,"La Suisse, sur les plaques",bliss-authored
lys,Fleur royale,bliss-authored
lys,Emblème des rois de France,bliss-authored
russe,De Moscou,bliss-authored
russe,Langue slave de l'Est,bliss-authored
fm,Modulation de fréquence,bliss-authored
fm,Bande de la radio,bliss-authored
ho,Interjection pour appeler,bliss-authored
ho,Cri d'étonnement,bliss-authored
dol,Tromperie en droit,bliss-authored
dol,Manœuvre frauduleuse,bliss-authored
arène,Piste de corrida,bliss-authored
arène,Lieu de combat des gladiateurs,bliss-authored
mh,Marque d'hésitation,bliss-authored
mh,"Millihenry, en abrégé",bliss-authored
duc,Titre de noblesse,bliss-authored
duc,Rapace nocturne,bliss-authored
qi,Souffle vital chinois,bliss-authored
qi,Mesure de l'intelligence,bliss-authored
tige,Partie de la plante,bliss-authored
tige,Barre métallique fine,bliss-authored
rompre,Briser,bliss-authored
rompre,Mettre fin à une relation,bliss-authored
évacuer,Faire sortir,bliss-authored
évacuer,Vider les lieux,bliss-authored
pneu,Bandage de roue,bliss-authored
pneu,Il se gonfle d'air,bliss-authored
tram,Transport sur rails urbain,bliss-authored
tram,Voiture électrique de ville,bliss-authored
peul,Peuple d'Afrique de l'Ouest,bliss-authored
peul,Berger nomade du Sahel,bliss-authored
peur,Frayeur,bliss-authored
peur,Crainte vive,bliss-authored
genêt,Arbuste à fleurs jaunes,bliss-authored
genêt,Plante des landes,bliss-authored
animé,Plein d'entrain,bliss-authored
animé,Où règne l'agitation,bliss-authored
entier,Complet,bliss-authored
entier,Nombre sans virgule,bliss-authored
même,Identique,bliss-authored
même,Pareil,bliss-authored
méfier,Ne pas faire confiance,bliss-authored
méfier,Rester sur ses gardes,bliss-authored
mémo,Note de service,bliss-authored
mémo,Pense-bête,bliss-authored
mélo,Drame sentimental,bliss-authored
mélo,Film larmoyant,bliss-authored
étuve,Salle de vapeur chaude,bliss-authored
étuve,Appareil de stérilisation,bliss-authored
punir,Sanctionner,bliss-authored
punir,Infliger une peine,bliss-authored
eux,Pronom masculin pluriel,bliss-authored
eux,Ces hommes-là,bliss-authored
recel,Détention d'objets volés,bliss-authored
recel,Délit du profiteur de vol,bliss-authored
ruée,Mouvement de foule soudain,bliss-authored
ruée,Course vers l'or,bliss-authored
taxe,Impôt,bliss-authored
taxe,Prélèvement obligatoire,bliss-authored
gravir,Monter avec effort,bliss-authored
gravir,Escalader une pente,bliss-authored
Ampère,Unité d'intensité électrique,bliss-authored
Ampère,Physicien français de l'électricité,bliss-authored
jeep,Véhicule tout-terrain,bliss-authored
jeep,Auto militaire robuste,bliss-authored
sirop,Boisson sucrée concentrée,bliss-authored
sirop,Remède contre la toux,bliss-authored
manie,Habitude bizarre,bliss-authored
manie,Obsession tenace,bliss-authored
aviso,Petit navire de guerre,bliss-authored
aviso,Bâtiment d'escorte,bliss-authored
atlas,Recueil de cartes,bliss-authored
atlas,Première vertèbre du cou,bliss-authored
nappe,Linge de table,bliss-authored
nappe,Étendue d'eau souterraine,bliss-authored
satire,Écrit moqueur,bliss-authored
satire,Critique railleuse,bliss-authored
fiv,Fécondation en éprouvette,bliss-authored
fiv,Technique de procréation assistée,bliss-authored
oued,Rivière du désert,bliss-authored
oued,Cours d'eau nord-africain,bliss-authored
nasal,Du nez,bliss-authored
nasal,Son qui passe par le nez,bliss-authored
rôtir,Cuire à feu vif,bliss-authored
rôtir,Faire dorer au four,bliss-authored
cric,Levier pour soulever l'auto,bliss-authored
cric,Outil du changement de roue,bliss-authored
siéger,Tenir séance,bliss-authored
siéger,Faire partie d'une assemblée,bliss-authored
saisie,Prise par la justice,bliss-authored
